date,close
2023-12-13,236.2
2023-12-14,238.1
2023-12-15,235.5
2023-12-18,233.6
2023-12-19,240.5
2023-12-20,240.0
2023-12-21,242.5
2023-12-22,248.0
2023-12-25,249.6
2023-12-26,251.1
2023-12-27,253.5
2023-12-28,256.5
2023-12-29,254.9
2024-01-04,256.9
2024-01-05,251.0
2024-01-09,249.3
2024-01-10,255.2
2024-01-11,260.6
2024-01-12,266.1
2024-01-15,265.4
2024-01-16,268.7
2024-01-17,269.9
2024-01-18,271.3
2024-01-19,271.5
2024-01-22,272.5
2024-01-23,278.9
2024-01-24,287.7
2024-01-25,286.7
2024-01-26,282.0
2024-01-29,281.3
2024-01-30,285.0
2024-01-31,283.6
2024-02-01,282.7
2024-02-02,289.1
2024-02-05,284.0
2024-02-06,277.6
2024-02-07,277.6
2024-02-08,278.0
2024-02-09,283.2
2024-02-13,288.0
2024-02-14,288.8
2024-02-15,296.1
2024-02-16,298.5
2024-02-19,296.1
2024-02-20,296.0
2024-02-21,304.5
2024-02-22,299.4
2024-02-26,302.6
2024-02-27,301.1
2024-02-28,297.0
2024-02-29,300.8
2024-03-01,298.3
2024-03-04,299.4
2024-03-05,299.9
2024-03-06,300.0
2024-03-07,313.0
2024-03-08,319.1
2024-03-11,327.0
2024-03-12,328.4
2024-03-13,333.0
2024-03-14,352.0
2024-03-15,354.2
2024-03-18,346.5
2024-03-19,349.3
2024-03-21,327.8
2024-03-22,315.5
2024-03-25,319.3
2024-03-26,321.2
2024-03-27,326.2
2024-03-28,328.6
2024-03-29,325.1
2024-04-01,325.5
2024-04-02,325.8
2024-04-03,327.3
2024-04-04,325.2
2024-04-05,325.5
2024-04-08,333.0
2024-04-09,327.7
2024-04-10,325.3
2024-04-11,315.7
2024-04-12,313.6
2024-04-15,314.3
2024-04-16,311.5
2024-04-17,309.6
2024-04-18,310.8
2024-04-19,317.0
2024-04-22,311.4
2024-04-23,305.5
2024-04-24,302.1
2024-04-25,305.4
2024-04-26,307.0
2024-04-30,303.4
2024-05-01,302.7
2024-05-02,307.9
2024-05-07,309.8
2024-05-08,309.3
2024-05-09,306.2
